BJD - 2454833, Corrected Flux
1982.084603113, 1.002708358,
1982.105035204, 1.002893076,
1982.125467495, 1.002723362,
1982.145899585, 1.002671532,
1982.186764064, 1.002594821,
1982.207196153, 1.002576296,
1982.227628341, 1.002502234,
1982.248060629, 1.002418254,
1982.268492717, 1.002373625,
1982.288924904, 1.002472071,
1982.309357190, 1.002173705,
1982.329789277, 1.002273355,
1982.350221462, 1.002418625,
1982.370653748, 1.002202553,
1982.391085933, 1.002245781,
1982.411518117, 1.002204894,
1982.431950301, 1.001994947,
1982.452382484, 1.002443556,
1982.472814667, 1.002297959,
1982.493246850, 1.002099446,
1982.513679032, 1.002190060,
1982.534111314, 1.002116380,
1982.554543395, 1.002268080,
1982.574975576, 1.001834007,
1982.615839936, 1.001901372,
1982.656704395, 1.001749162,
1982.677136473, 1.001503485,
1982.697568651, 1.001510691,
1982.718000929, 1.001642822,
1982.738433006, 1.001467589,
1982.758865183, 1.001379029,
1982.779297460, 1.001402241,
1982.799729536, 1.001318449,
1982.820161711, 1.001397536,
1982.840593986, 1.001546586,
1982.861026161, 1.001400871,
1982.901890509, 1.001192367,
1982.922322582, 1.001211818,
1982.942754855, 1.001139429,
1982.983619099, 1.001239290,
1983.004051371, 1.001199917,
1983.024483541, 1.001364105,
1983.044915612, 1.001051128,
1983.065347882, 1.000860494,
1983.085780052, 1.000740028,
1983.106212121, 1.000849291,
1983.126644390, 1.000696780,
1983.147076558, 1.000934186,
1983.187940894, 1.000691112,
1983.208373061, 1.000594615,
1983.228805227, 1.000717063,
1983.249237394, 1.000506933,
1983.269669559, 1.000461590,
1983.290101725, 1.000720408,
1983.310533890, 1.000657181,
1983.330966054, 1.000401700,
1983.351398318, 1.000516182,
1983.371830482, 1.000457011,
1983.392262545, 1.000316575,
1983.412694808, 1.000420276,
1983.433126970, 0.999998843,
1983.473991293, 1.000119379,
1983.494423454, 1.000143521,
1983.535287774, 1.000052415,
1983.555719934, 0.999749442,
1983.576151993, 0.999976134,
1983.596584252, 0.999867082,
1983.617016410, 0.999931540,
1983.637448468, 0.999791566,
1983.657880726, 0.999777412,
1983.678312783, 0.999732265,
1983.698745039, 0.999737851,
1983.719177195, 0.999737436,
1983.739609251, 0.999581549,
1983.760041406, 0.999422986,
1983.780473661, 0.999570250,
1983.800905815, 0.999496555,
1983.821337969, 0.999628219,
1983.841770123, 0.999401900,
1983.882634528, 0.999457578,
1983.903066581, 0.999311587,
1983.923498732, 0.999299187,
1983.943930984, 0.999381735,
1983.964363035, 0.999102531,
1984.005227435, 0.999372639,
1984.025659485, 0.999169267,
1984.046091634, 0.999343368,
1984.066523883, 0.999333666,
1984.086955931, 0.999089764,
1984.107388079, 0.999158950,
1984.127820326, 0.999105291,
1984.148252373, 0.999129379,
1984.168684520, 0.999040239,
1984.189116766, 0.998854785,
1984.209548912, 0.997221377,
1984.229980957, 0.996702462,
1984.250413202, 0.996708575,
1984.270845346, 0.996896861,
1984.291277490, 0.996874372,
1984.311709634, 0.996620183,
1984.332141777, 0.996974910,
1984.352574020, 0.998471949,
1984.373006062, 0.998695074,
1984.393438104, 0.998855367,
1984.413870345, 0.998808920,
1984.475166766, 0.998657599,
1984.516030945, 0.998478667,
1984.536463184, 0.998571343,
1984.556895322, 0.998500711,
1984.577327361, 0.998561081,
1984.597759598, 0.998369925,
1984.618191735, 0.998643591,
1984.638623872, 0.998564250,
1984.659056008, 0.998542325,
1984.679488144, 0.998466786,
1984.699920279, 0.998402044,
1984.720352514, 0.998347220,
1984.740784549, 0.998514861,
1984.761216783, 0.998530759,
1984.781648917, 0.998563772,
1984.802080950, 0.998382287,
1984.822513182, 0.998517474,
1984.842945315, 0.998229007,
1984.863377347, 0.998405057,
1984.883809578, 0.998548643,
1984.904241710, 0.998244506,
1984.985970130, 0.998367852,
1985.006402359, 0.998295910,
1985.026834487, 0.998166389,
1985.047266615, 0.998073423,
1985.067698743, 0.998203005,
1985.088130870, 0.997986927,
1985.108562997, 0.998346534,
1985.128995124, 0.998471221,
1985.149427250, 0.998289588,
1985.169859275, 0.998194355,
1985.190291500, 0.998473499,
1985.210723625, 0.998208768,
1985.251587873, 0.998260685,
1985.272019997, 0.998376484,
1985.292452220, 0.998280843,
1985.312884242, 0.998343811,
1985.333316364, 0.998188779,
1985.353748586, 0.998245249,
1985.374180608, 0.998303209,
1985.394612729, 0.998444149,
1985.455909089, 0.998359850,
1985.476341308, 0.998529016,
1985.496773327, 0.998353175,
1985.517205445, 0.998323094,
1985.537637663, 0.998411136,
1985.558069781, 0.998505507,
1985.598934015, 0.998306090,
1985.619366131, 0.998568117,
1985.639798147, 0.998444493,
1985.660230362, 0.998573090,
1985.701094692, 0.998294261,
1985.721526706, 0.998528003,
1985.741958820, 0.998748018,
1985.762391033, 0.998583953,
1985.782823046, 0.998557414,
1985.803255159, 0.998567727,
1985.844119382, 0.998927490,
1985.864551494, 0.998549281,
1985.884983605, 0.998756803,
1985.946279935, 0.998517875,
1985.966712044, 0.998324428,
1985.987144153, 0.998388489,
1986.007576261, 0.998515308,
1986.028008369, 0.998614490,
1986.048440476, 0.998736866,
1986.068872683, 0.998633866,
1986.089304690, 0.998960558,
1986.109736797, 0.998697402,
1986.130169002, 0.998686260,
1986.150601008, 0.998779426,
1986.171033213, 0.998682440,
1986.191465317, 0.998693725,
1986.211897321, 0.998571732,
1986.232329525, 0.998719517,
1986.252761628, 0.998711884,
